city,lat,lng,population,city_clean
Hita,33.3213,130.9411,61755,Hita
Shiroi,35.7915,140.0563,61673,Shiroi
Hasuda,35.9945,139.6624,61473,Hasuda
Hashimoto,34.3149,135.6052,61063,Hashimoto
Aisai,35.1528,136.7282,60914,Aisai
Tsushima,35.1771,136.7413,60908,Tsushima
Itoman,26.1235,127.6658,60903,Itoman
Tamba,35.1771,135.0359,60824,Tamba
Yamatotakada,34.5151,135.7365,60791,Yamatotakada
Kokawa,34.27,135.408,60592,Kokawa
Yame,33.212,130.5579,60196,Yame
Towada,40.6127,141.2059,60063,Towada
Sanyō-Onoda,34.0032,131.1818,59648,Sanyo-Onoda
Sennan,34.3659,135.2734,59634,Sennan
Date,37.8201,140.5083,59625,Date
Shimotsuke,36.3949,139.8518,59404,Shimotsuke
Shirakawa,37.1264,140.2109,59393,Shirakawa
Koga,33.7287,130.47,59349,Koga
Kesennuma,38.9081,141.5699,59341,Kesennuma
Hyūga,32.4229,131.6239,59276,Hyuga
Chichibu,35.9597,138.9333,59101,Chichibu
Tahara,34.6688,137.2642,59015,Tahara
Chikuma,36.5307,138.1149,58755,Chikuma
Sayama,34.5169,135.563,58593,Sayama
Ogōri,33.3964,130.5556,58322,Ogori
Murakami,38.224,139.48,58300,Murakami
Ishikari,43.1714,141.3155,58284,Ishikari
Kitahiroshima,42.9855,141.5631,58125,Kitahiroshima
Kan’onjichō,34.1268,133.6535,57921,Kan’onjicho
Kosai,34.7184,137.5316,57682,Kosai
Tōgane,35.5599,140.3661,57560,Togane
Tokoname,34.8892,136.8531,57507,Tokoname
Uki,32.6478,130.6843,57096,Uki
Nonoichi,36.5194,136.6098,57090,Nonoichi
Minokamo,35.4402,137.0157,57007,Minokamo
Zushi,35.2956,139.5803,56996,Zushi
Fussa,35.7386,139.3268,56786,Fussa
Kudamatsu,34.015,131.8703,56661,Kudamatsu
Tama,34.4919,133.946,56431,Tama
Mukōchō,34.9487,135.6983,56152,Mukocho
Mizuho,35.3918,136.6909,56106,Mizuho
Takizawa,39.7347,141.0771,56050,Takizawa
Takaishi,34.5207,135.4424,55910,Takaishi
Nōgata,33.7441,130.7297,55705,Nogata
Toki,35.3525,137.1832,55388,Toki
Shijōnawate,34.7399,135.6395,55094,Shijonawate
Chino,35.9955,138.1588,55018,Chino
